date,pax,from,region,type,notes
2022-09-01,2,Spain,Cataluña,foot,8 an hasi
2022-09-01,1,France,,foot,6 an hasi
2022-09-01,1,France,,foot,12 an hasi
2022-09-01,1,France,,foot,13 an hasi
2022-09-01,1,Ireland,,foot,14 an hasi
2022-09-01,2,USA,,foot,25 ean hasi
2022-09-01,1,France,,foot,27 an hasi
2022-10-31,0,,,,
2022-11-30,0,,,,
2022-12-31,0,,,,
