      Evento;       Fecha;        Hora;     Latitud;    Longitud;  Prof. (Km);      Inten.;        Mag.;   Tipo Mag.;Localización
      803707;  27/10/2007;    01:27:49;     43.0381;     -2.1918;        10.5;            ;         1.1;           4;NW LAZKAO.SS
      803743;  27/10/2007;    01:29:56;     43.0191;     -2.1786;        10.5;            ;         1.2;           4;N SAN MARTIN.SS
      803780;  27/10/2007;    01:33:20;     42.9809;     -2.2051;         0.0;            ;         1.1;           4;SW SAN MARTIN.SS
      803714;  27/10/2007;    01:34:15;     43.0619;     -2.2058;         7.6;            ;         1.3;           4;NW BEASAIN.SS
      803788;  27/10/2007;    01:41:17;     43.0406;     -2.2070;         0.0;            ;         0.8;           4;SW BEASAIN.SS
      803796;  27/10/2007;    01:45:39;     43.0319;     -2.1643;         8.5;            ;         1.0;           4;SW ZALDIBIA.SS
      803793;  27/10/2007;    01:46:00;     43.0161;     -2.1777;        11.4;            ;         1.5;           4;N SAN MARTIN.SS
      803828;  27/10/2007;    01:47:08;     43.0333;     -2.2172;        12.3;            ;         1.8;           4;NW OLABERRIA.SS
      803834;  27/10/2007;    01:48:24;     43.0049;     -2.1999;        10.9;            ;         1.6;           4;W SAN MARTIN.SS
      803733;  27/10/2007;    01:56:39;     43.0286;     -2.1863;        10.6;            ;         2.0;           4;S LAZKAO.SS
      803744;  27/10/2007;    02:18:10;     43.0190;     -2.1820;        10.8;            ;         1.4;           4;NW SAN MARTIN.SS
      803753;  27/10/2007;    02:18:34;     42.9940;     -2.1725;        10.8;            ;         2.0;           4;S SAN MARTIN.SS
      803770;  27/10/2007;    02:37:13;     43.0270;     -2.1881;        10.9;            ;         2.3;           4;S LAZKAO.SS
      803797;  27/10/2007;    02:38:30;     42.9572;     -2.1927;        10.3;            ;         1.5;           4;SW SAN MARTIN.SS
      803799;  27/10/2007;    02:39:12;     43.0276;     -2.1974;         0.0;            ;         1.3;           4;E OLABERRIA.SS
      803782;  27/10/2007;    02:41:33;     43.0724;     -2.2034;         5.2;            ;         1.5;           4;NW BEASAIN.SS
      803795;  27/10/2007;    02:43:24;     42.9645;     -2.1640;        10.7;            ;         1.1;           4;SE SAN MARTIN.SS
